query	entrezgene	name	symbol	alias	taxid	HGNC
CTSF	8722	cathepsin F	CTSF	CATSF, CLN13	9606	HGNC:2531
CTSG	1511	cathepsin G	CTSG	CATG, CG	9606	HGNC:2532
CTSH	1512	cathepsin H	CTSH	ACC-4, ACC-5, ACC4, ACC5, CPSB	9606	HGNC:2535
CTSK	1513	cathepsin K	CTSK	CTS02, CTSO, CTSO1, CTSO2, PKND	9606	HGNC:2536
CTSL	1514	cathepsin L	CTSL	CATL, CTSL1, MEP	9606	HGNC:2537
CTSL1	1514	cathepsin L	CTSL	CATL, CTSL1, MEP	9606	HGNC:2537
CTSL3P	392360	cathepsin L family member 3, pseudogene	CTSL3P	CTSL3, HCTSL-s	9606	HGNC:33132
CTSO	1519	cathepsin O	CTSO	CTSO1	9606	HGNC:2542
CTSS	1520	cathepsin S	CTSS		9606	HGNC:2545
CTSL2	1515	cathepsin V	CTSV	CATL2, CTSL2, CTSU	9606	HGNC:2538
CTSV	1515	cathepsin V	CTSV	CATL2, CTSL2, CTSU	9606	HGNC:2538
CTSW	1521	cathepsin W	CTSW	LYPN	9606	HGNC:2546
CTSZ	1522	cathepsin Z	CTSZ	CTSX	9606	HGNC:2547
CTTN	2017	cortactin	CTTN	EMS1	9606	HGNC:3338
CTTNBP2	83992	cortactin binding protein 2	CTTNBP2	C7orf8, CORTBP2, Orf4	9606	HGNC:15679
CTTNBP2NL	55917	CTTNBP2 N-terminal like	CTTNBP2NL		9606	HGNC:25330
ATPBD3	90353	cytosolic thiouridylase subunit 1	CTU1	ATPBD3, NCS6	9606	HGNC:29590
CTU1	90353	cytosolic thiouridylase subunit 1	CTU1	ATPBD3, NCS6	9606	HGNC:29590
CTU2	348180	cytosolic thiouridylase subunit 2	CTU2	C16orf84, MFRG, NCS2, UPF0432	9606	HGNC:28005
CTXN1	404217	cortexin 1	CTXN1	CTXN	9606	HGNC:31108
CTXN2	399697	cortexin 2	CTXN2		9606	HGNC:31109
CTXN3	613212	cortexin 3	CTXN3	KABE	9606	HGNC:31110
CUBN	8029	cubilin	CUBN	IFCR, IGS, IGS1, MGA1, gp280	9606	HGNC:2548
CUEDC1	404093	CUE domain containing 1	CUEDC1		9606	HGNC:31350
CUEDC2	79004	CUE domain containing 2	CUEDC2	C10orf66, bA18I14.5	9606	HGNC:28352
CUL1	8454	cullin 1	CUL1		9606	HGNC:2551
CUL2	8453	cullin 2	CUL2		9606	HGNC:2552
CUL3	8452	cullin 3	CUL3	CUL-3, NEDAUS, PHA2E	9606	HGNC:2553
CUL4A	8451	cullin 4A	CUL4A		9606	HGNC:2554
CUL4B	8450	cullin 4B	CUL4B	CUL-4B, MRXHF2, MRXS15, MRXSC, SFM2	9606	HGNC:2555
CUL5	8065	cullin 5	CUL5	CUL-5, VACM-1, VACM1	9606	HGNC:2556
CUL7	9820	cullin 7	CUL7	3M1, CUL-7, KIAA0076, dJ20C7.5	9606	HGNC:21024
CUL9	23113	cullin 9	CUL9	H7AP1, PARC	9606	HGNC:15982
CUTA	51596	cutA divalent cation tolerance homolog	CUTA	ACHAP, C6orf82	9606	HGNC:21101
CUTC	51076	cutC copper transporter	CUTC	CGI-32	9606	HGNC:24271
CUTL1	1523	cut like homeobox 1	CUX1	CASP, CDP, CDP/Cut, CDP1, COY1	9606	HGNC:2557
CUX1	1523	cut like homeobox 1	CUX1	CASP, CDP, CDP/Cut, CDP1, COY1	9606	HGNC:2557
CUTL2	23316	cut like homeobox 2	CUX2	CDP2, CUTL2, DEE67, EIEE67	9606	HGNC:19347
CUX2	23316	cut like homeobox 2	CUX2	CDP2, CUTL2, DEE67, EIEE67	9606	HGNC:19347
CUZD1	50624	CUB and zona pellucida like domains 1	CUZD1	ERG-1, ERG1, ITMAP1, UO-44	9606	HGNC:17937
CWC15	51503	CWC15 spliceosome associated protein homolog	CWC15	AD002, C11orf5, Cwf15, HSPC148, ORF5	9606	HGNC:26939
CWC22	57703	CWC22 spliceosome associated protein homolog	CWC22	EIF4GL, NCM, fSAPb	9606	HGNC:29322
CCDC49	54883	CWC25 spliceosome associated protein homolog	CWC25	CCDC49	9606	HGNC:25989
CWC25	54883	CWC25 spliceosome associated protein homolog	CWC25	CCDC49	9606	HGNC:25989
CWC27	10283	CWC27 spliceosome associated cyclophilin	CWC27	NY-CO-10, RPSKA, SDCCAG-10, SDCCAG10	9606	HGNC:10664
CWF19L1	55280	CWF19 like cell cycle control factor 1	CWF19L1	C19L1, SCAR17, hDrn1	9606	HGNC:25613
CWF19L2	143884	CWF19 like cell cycle control factor 2	CWF19L2		9606	HGNC:26508
CWH43	80157	cell wall biogenesis 43 C-terminal homolog	CWH43	CWH43-C, PGAP2IP	9606	HGNC:26133
CX3CL1	6376	C-X3-C motif chemokine ligand 1	CX3CL1	ABCD-3, C3Xkine, CXC3, CXC3C, NTN	9606	HGNC:10647
CX3CR1	1524	C-X3-C motif chemokine receptor 1	CX3CR1	CCRL1, CMKBRL1, CMKDR1, GPR13, GPRV28	9606	HGNC:2558
CXADR	1525	CXADR Ig-like cell adhesion molecule	CXADR	CAR, CAR4/6, HCAR	9606	HGNC:2559
CXADRP2	646243	CXADR pseudogene 2	CXADRP2		9606	HGNC:33973
CXADRP3	440224	CXADR pseudogene 3	CXADRP3		9606	HGNC:33974
CXCL1	2919	C-X-C motif chemokine ligand 1	CXCL1	FSP, GRO1, GROa, MGSA, MGSA-a	9606	HGNC:4602
CXCL10	3627	C-X-C motif chemokine ligand 10	CXCL10	C7, IFI10, INP10, IP-10, SCYB10	9606	HGNC:10637
CXCL11	6373	C-X-C motif chemokine ligand 11	CXCL11	H174, I-TAC, IP-9, IP9, SCYB11	9606	HGNC:10638
CXCL12	6387	C-X-C motif chemokine ligand 12	CXCL12	IRH, PBSF, SCYB12, SDF1, TLSF	9606	HGNC:10672
CXCL13	10563	C-X-C motif chemokine ligand 13	CXCL13	ANGIE, ANGIE2, BCA-1, BCA1, BLC	9606	HGNC:10639
CXCL14	9547	C-X-C motif chemokine ligand 14	CXCL14	BMAC, BRAK, KEC, KS1, MIP-2g	9606	HGNC:10640
CXCL16	58191	C-X-C motif chemokine ligand 16	CXCL16	CXCLG16, SR-PSOX, SRPSOX	9606	HGNC:16642
CXCL17	284340	C-X-C motif chemokine ligand 17	CXCL17	DMC, Dcip1, UNQ473, VCC-1, VCC1	9606	HGNC:19232
CXCL2	2920	C-X-C motif chemokine ligand 2	CXCL2	CINC-2a, GRO2, GROb, MGSA-b, MIP-2a	9606	HGNC:4603
CXCL3	2921	C-X-C motif chemokine ligand 3	CXCL3	CINC-2b, GRO3, GROg, MIP-2b, MIP2B	9606	HGNC:4604
CXCL5	6374	C-X-C motif chemokine ligand 5	CXCL5	ENA-78, SCYB5	9606	HGNC:10642
CXCL6	6372	C-X-C motif chemokine ligand 6	CXCL6	CKA-3, GCP-2, GCP2, SCYB6	9606	HGNC:10643
CXCL8	3576	C-X-C motif chemokine ligand 8	CXCL8	GCP-1, GCP1, IL8, LECT, LUCT	9606	HGNC:6025
IL8	3576	C-X-C motif chemokine ligand 8	CXCL8	GCP-1, GCP1, IL8, LECT, LUCT	9606	HGNC:6025
CXCL9	4283	C-X-C motif chemokine ligand 9	CXCL9	CMK, Humig, MIG, SCYB9, crg-10	9606	HGNC:7098
CXCR1	3577	C-X-C motif chemokine receptor 1	CXCR1	C-C, C-C-CKR-1, CD128, CD181, CDw128a	9606	HGNC:6026
CXCR2	3579	C-X-C motif chemokine receptor 2	CXCR2	CD182, CDw128b, CMKAR2, IL8R2, IL8RA	9606	HGNC:6027
IL8RA	3579	C-X-C motif chemokine receptor 2	CXCR2	CD182, CDw128b, CMKAR2, IL8R2, IL8RA	9606	HGNC:6027
IL8RB	3579	C-X-C motif chemokine receptor 2	CXCR2	CD182, CDw128b, CMKAR2, IL8R2, IL8RA	9606	HGNC:6027
CXCR3	2833	C-X-C motif chemokine receptor 3	CXCR3	CD182, CD183, CKR-L2, CMKAR3, GPR9	9606	HGNC:4540
CXCR4	7852	C-X-C motif chemokine receptor 4	CXCR4	CD184, D2S201E, FB22, HM89, HSY3RR	9606	HGNC:2561
BLR1	643	C-X-C motif chemokine receptor 5	CXCR5	BLR1, CD185, MDR15	9606	HGNC:1060
CXCR5	643	C-X-C motif chemokine receptor 5	CXCR5	BLR1, CD185, MDR15	9606	HGNC:1060
CXCR6	10663	C-X-C motif chemokine receptor 6	CXCR6	BONZO, CD186, CDw186, STRL33, TYMSTR	9606	HGNC:16647
CXXC1	30827	CXXC finger protein 1	CXXC1	2410002I16Rik, 5830420C16Rik, CFP1, CGBP, HsT2645	9606	HGNC:24343
CXXC4	80319	CXXC finger protein 4	CXXC4	IDAX	9606	HGNC:24593
CXXC5	51523	CXXC finger protein 5	CXXC5	CF5, HSPC195, RINF, WID	9606	HGNC:26943
CXORF38	159013	chromosome X open reading frame 38	CXorf38		9606	HGNC:28589
CXORF58	254158	chromosome X open reading frame 58	CXorf58		9606	HGNC:26356
CXORF65	158830	chromosome X open reading frame 65	CXorf65		9606	HGNC:33713
CXORF66	347487	chromosome X open reading frame 66	CXorf66	SGPX	9606	HGNC:33743
CYB561	1534	cytochrome b561	CYB561	CYB561A1, FRRS2, ORTHYP2	9606	HGNC:2571
CYB561A3	220002	cytochrome b561 family member A3	CYB561A3	CYBASC3, LCYTB	9606	HGNC:23014
CYB561D1	284613	cytochrome b561 family member D1	CYB561D1		9606	HGNC:26804
CYB561D2	11068	cytochrome b561 family member D2	CYB561D2	101F6, TSP10, XXcos-LUCA11.4	9606	HGNC:30253
CYB5A	1528	cytochrome b5 type A	CYB5A	CYB5, MCB5, METAG	9606	HGNC:2570
CYB5B	80777	cytochrome b5 type B	CYB5B	CYB5-M, CYPB5M, OMB5	9606	HGNC:24374
CYB5D1	124637	cytochrome b5 domain containing 1	CYB5D1		9606	HGNC:26516
CYB5D2	124936	cytochrome b5 domain containing 2	CYB5D2		9606	HGNC:28471
CYB5R1	51706	cytochrome b5 reductase 1	CYB5R1	B5R.1, B5R1, B5R2, NQO3A2, humb5R2	9606	HGNC:13397
CYB5R2	51700	cytochrome b5 reductase 2	CYB5R2	B5R.2	9606	HGNC:24376
CYB5R3	1727	cytochrome b5 reductase 3	CYB5R3	B5R, DIA1	9606	HGNC:2873
CYB5R4	51167	cytochrome b5 reductase 4	CYB5R4	NCB5OR, cb5/cb5R, dJ676J13.1	9606	HGNC:20147
CYB5RL	606495	cytochrome b5 reductase like	CYB5RL		9606	HGNC:32220
CYBA	1535	cytochrome b-245 alpha chain	CYBA	CGD4, p22-PHOX	9606	HGNC:2577
CYBB	1536	cytochrome b-245 beta chain	CYBB	AMCBX2, CGD, CGDX, GP91-1, GP91-PHOX	9606	HGNC:2578
C17ORF62	79415	cytochrome b-245 chaperone 1	CYBC1	C17orf62, CGD5, Eros	9606	HGNC:28672
CYBRD1	79901	cytochrome b reductase 1	CYBRD1	CYB561A2, DCYTB, FRRS3	9606	HGNC:20797
CYC1	1537	cytochrome c1	CYC1	MC3DN6, UQCR4	9606	HGNC:2579
CYCS	54205	cytochrome c, somatic	CYCS	CYC, HCS, THC4	9606	HGNC:19986
CYFIP1	23191	cytoplasmic FMR1 interacting protein 1	CYFIP1	P140SRA-1, SHYC, SRA-1, SRA1	9606	HGNC:13759
CYFIP2	26999	cytoplasmic FMR1 interacting protein 2	CYFIP2	DEE65, EIEE65, PIR121	9606	HGNC:13760
CYGB	114757	cytoglobin	CYGB	HGB, STAP	9606	HGNC:16505
CYHR1	50626	cysteine and histidine rich 1	CYHR1	CHRP	9606	HGNC:17806
CYLC1	1538	cylicin 1	CYLC1	CYCL1	9606	HGNC:2582
CYLC2	1539	cylicin 2	CYLC2		9606	HGNC:2583
CYLD	1540	CYLD lysine 63 deubiquitinase	CYLD	BRSS, CDMT, CYLD1, CYLDI, EAC	9606	HGNC:2584
CYP11A1	1583	cytochrome P450 family 11 subfamily A member 1	CYP11A1	CYP11A, CYPXIA1, P450SCC	9606	HGNC:2590
CYP11B1	1584	cytochrome P450 family 11 subfamily B member 1	CYP11B1	CPN1, CYP11B, FHI, P450C11	9606	HGNC:2591
CYP11B2	1585	cytochrome P450 family 11 subfamily B member 2	CYP11B2	ALDOS, CPN2, CYP11B, CYP11BL, CYPXIB2	9606	HGNC:2592
CYP17A1	1586	cytochrome P450 family 17 subfamily A member 1	CYP17A1	CPT7, CYP17, P450C17, S17AH	9606	HGNC:2593
CYP19A1	1588	cytochrome P450 family 19 subfamily A member 1	CYP19A1	ARO, ARO1, CPV1, CYAR, CYP19	9606	HGNC:2594
CYP1A1	1543	cytochrome P450 family 1 subfamily A member 1	CYP1A1	AHH, AHRR, CP11, CYP1, CYPIA1	9606	HGNC:2595
CYP1A2	1544	cytochrome P450 family 1 subfamily A member 2	CYP1A2	CP12, CYPIA2, P3-450, P450(PA)	9606	HGNC:2596
CYP1B1	1545	cytochrome P450 family 1 subfamily B member 1	CYP1B1	ASGD6, CP1B, CYPIB1, GLC3A, P4501B1	9606	HGNC:2597
CYP1B1-AS1	285154	CYP1B1 antisense RNA 1	CYP1B1-AS1	C2orf58	9606	HGNC:28543
CYP20A1	57404	cytochrome P450 family 20 subfamily A member 1	CYP20A1	CYP-M	9606	HGNC:20576
CYP21A1P	1590	cytochrome P450 family 21 subfamily A member 1, pseudogene	CYP21A1P	CYP21A, CYP21P, P450c21A	9606	HGNC:2599
CYP21A2	1589	cytochrome P450 family 21 subfamily A member 2	CYP21A2	CA21H, CAH1, CPS1, CYP21, CYP21B	9606	HGNC:2600
CYP24A1	1591	cytochrome P450 family 24 subfamily A member 1	CYP24A1	CP24, CYP24, HCAI, HCINF1, P450-CC24	9606	HGNC:2602
CYP26A1	1592	cytochrome P450 family 26 subfamily A member 1	CYP26A1	CP26, CYP26, P450RAI, P450RAI1	9606	HGNC:2603
CYP26B1	56603	cytochrome P450 family 26 subfamily B member 1	CYP26B1	CYP26A2, P450RAI-2, P450RAI2, RHFCA	9606	HGNC:20581
CYP26C1	340665	cytochrome P450 family 26 subfamily C member 1	CYP26C1	FFDD4	9606	HGNC:20577
CYP27A1	1593	cytochrome P450 family 27 subfamily A member 1	CYP27A1	CP27, CTX, CYP27	9606	HGNC:2605
CYP27B1	1594	cytochrome P450 family 27 subfamily B member 1	CYP27B1	CP2B, CYP1, CYP1alpha, CYP27B, P450c1	9606	HGNC:2606
CYP27C1	339761	cytochrome P450 family 27 subfamily C member 1	CYP27C1		9606	HGNC:33480
CYP2A13	1553	cytochrome P450 family 2 subfamily A member 13	CYP2A13	CPAD, CYP2A, CYPIIA13	9606	HGNC:2608
CYP2A6	1548	cytochrome P450 family 2 subfamily A member 6	CYP2A6	CPA6, CYP2A, CYP2A3, CYPIIA6, P450C2A	9606	HGNC:2610
CYP2A7	1549	cytochrome P450 family 2 subfamily A member 7	CYP2A7	CPA7, CPAD, CYP2A, CYPIIA7, P450-IIA4	9606	HGNC:2611
CYP2A7P1	1550	cytochrome P450 family 2 subfamily A member 7 pseudogene 1	CYP2A7P1	CYP2A18PC, CYP2A18PN, CYP2A7P2, CYP2A7PT	9606	HGNC:2612
CYP2B6	1555	cytochrome P450 family 2 subfamily B member 6	CYP2B6	CPB6, CYP2B, CYP2B7, CYP2B7P, CYPIIB6	9606	HGNC:2615
CYP2B7P	1556	cytochrome P450 family 2 subfamily B member 7, pseudogene	CYP2B7P	CYP2B, CYP2B7, CYP2B7P1	9606	HGNC:2616
CYP2B7P1	1556	cytochrome P450 family 2 subfamily B member 7, pseudogene	CYP2B7P	CYP2B, CYP2B7, CYP2B7P1	9606	HGNC:2616
CYP2C18	1562	cytochrome P450 family 2 subfamily C member 18	CYP2C18	CPCI, CYP2C, CYP2C17, P450-6B/29C, P450IIC17	9606	HGNC:2620
CYP2C19	1557	cytochrome P450 family 2 subfamily C member 19	CYP2C19	CPCJ, CYP2C, CYPIIC17, CYPIIC19, P450C2C	9606	HGNC:2621
CYP2C8	1558	cytochrome P450 family 2 subfamily C member 8	CYP2C8	CPC8, CYP2C8DM, CYPIIC8, MP-12/MP-20	9606	HGNC:2622
CYP2C9	1559	cytochrome P450 family 2 subfamily C member 9	CYP2C9	CPC9, CYP2C, CYP2C10, CYPIIC9, P450IIC9	9606	HGNC:2623
CYP2D6	1565	cytochrome P450 family 2 subfamily D member 6	CYP2D6	CPD6, CYP2D, CYP2D7AP, CYP2D7BP, CYP2D7P2	9606	HGNC:2625
CYP2D7	1564	cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)	CYP2D7	CYP2D, CYP2D6, CYP2D7AP, CYP2D7P, CYP2D7P1	9606	HGNC:2624
CYP2E1	1571	cytochrome P450 family 2 subfamily E member 1	CYP2E1	CPE1, CYP2E, P450-J, P450C2E	9606	HGNC:2631
CYP2F1	1572	cytochrome P450 family 2 subfamily F member 1	CYP2F1	C2F1, CYP2F, CYPIIF1	9606	HGNC:2632
CYP2G1P	22952	cytochrome P450 family 2 subfamily G member 1, pseudogene	CYP2G1P	CYP2G1, CYP2G2P, CYP2GP1	9606	HGNC:2633
CYP2J2	1573	cytochrome P450 family 2 subfamily J member 2	CYP2J2	CPJ2, CYPIIJ2	9606	HGNC:2634
CYP2R1	120227	cytochrome P450 family 2 subfamily R member 1	CYP2R1		9606	HGNC:20580
CYP2S1	29785	cytochrome P450 family 2 subfamily S member 1	CYP2S1	CYPIIS1	9606	HGNC:15654
CYP2U1	113612	cytochrome P450 family 2 subfamily U member 1	CYP2U1	P450TEC, SPG49, SPG56	9606	HGNC:20582
CYP2W1	54905	cytochrome P450 family 2 subfamily W member 1	CYP2W1		9606	HGNC:20243
CYP39A1	51302	cytochrome P450 family 39 subfamily A member 1	CYP39A1		9606	HGNC:17449
CYP3A4	1576	cytochrome P450 family 3 subfamily A member 4	CYP3A4	CP33, CP34, CYP3A, CYP3A3, CYPIIIA3	9606	HGNC:2637
CYP3A43	64816	cytochrome P450 family 3 subfamily A member 43	CYP3A43		9606	HGNC:17450
CYP3A5	1577	cytochrome P450 family 3 subfamily A member 5	CYP3A5	CP35, CYPIIIA5, P450PCN3, PCN3	9606	HGNC:2638
CYP3A7	1551	cytochrome P450 family 3 subfamily A member 7	CYP3A7	CP37, CYPIIIA7, P-450(HFL33), P-450111A7, P450-HFLA	9606	HGNC:2640
CYP46A1	10858	cytochrome P450 family 46 subfamily A member 1	CYP46A1	CP46, CYP46	9606	HGNC:2641
CYP4A11	1579	cytochrome P450 family 4 subfamily A member 11	CYP4A11	CP4Y, CYP4A2, CYP4AII, CYPIVA11	9606	HGNC:2642
CYP4A22	284541	cytochrome P450 family 4 subfamily A member 22	CYP4A22		9606	HGNC:20575
CYP4B1	1580	cytochrome P450 family 4 subfamily B member 1	CYP4B1	CYPIVB1, P-450HP	9606	HGNC:2644
CYP4F11	57834	cytochrome P450 family 4 subfamily F member 11	CYP4F11	CYPIVF11	9606	HGNC:13265
CYP4F12	66002	cytochrome P450 family 4 subfamily F member 12	CYP4F12	CYPIVF12, F22329_1	9606	HGNC:18857
CYP4F2	8529	cytochrome P450 family 4 subfamily F member 2	CYP4F2	CPF2	9606	HGNC:2645
CYP4F22	126410	cytochrome P450 family 4 subfamily F member 22	CYP4F22	ARCI5, INLNE, LI3	9606	HGNC:26820
CYP4F3	4051	cytochrome P450 family 4 subfamily F member 3	CYP4F3	CPF3, CYP4F, CYPIVF3, LTB4H	9606	HGNC:2646
CYP4F8	11283	cytochrome P450 family 4 subfamily F member 8	CYP4F8	CPF8, CYPIVF8	9606	HGNC:2648
CYP4V2	285440	cytochrome P450 family 4 subfamily V member 2	CYP4V2	BCD, CYP4AH1	9606	HGNC:23198
CYP4X1	260293	cytochrome P450 family 4 subfamily X member 1	CYP4X1	CYPIVX1	9606	HGNC:20244
CYP4Z1	199974	cytochrome P450 family 4 subfamily Z member 1	CYP4Z1	CYP4A20	9606	HGNC:20583
CYP4Z2P	163720	cytochrome P450 family 4 subfamily Z member 2, pseudogene	CYP4Z2P		9606	HGNC:24426
CYP51A1	1595	cytochrome P450 family 51 subfamily A member 1	CYP51A1	CP51, CYP51, CYPL1, LDM, P450-14DM	9606	HGNC:2649
CYP7A1	1581	cytochrome P450 family 7 subfamily A member 1	CYP7A1	CP7A, CYP7, CYPVII	9606	HGNC:2651
CYP7B1	9420	cytochrome P450 family 7 subfamily B member 1	CYP7B1	CBAS3, CP7B, SPG5A	9606	HGNC:2652
CYP8B1	1582	cytochrome P450 family 8 subfamily B member 1	CYP8B1	CP8B, CYP12	9606	HGNC:2653
C7ORF49	78996	cell cycle regulator of NHEJ	CYREN	C7orf49, MRI, MRI-2	9606	HGNC:22432
FAM49A	81553	CYFIP related Rac1 interactor A	CYRIA	CYRI-A, FAM49A	9606	HGNC:25373
FAM49B	51571	CYFIP related Rac1 interactor B	CYRIB	BM-009, CYRI, CYRI-B, FAM49B, L1	9606	HGNC:25216
CYS1	192668	cystin 1	CYS1		9606	HGNC:18525
CYSLTR1	10800	cysteinyl leukotriene receptor 1	CYSLTR1	CYSLT1, CYSLT1R, CYSLTR, HMTMF81	9606	HGNC:17451
CYSLTR2	57105	cysteinyl leukotriene receptor 2	CYSLTR2	CYSLT2, CYSLT2R, GPCR21, HG57, HPN321	9606	HGNC:18274
C9ORF169	375791	cysteine rich tail 1	CYSRT1	C9orf169	9606	HGNC:30529
CYSTM1	84418	cysteine rich transmembrane module containing 1	CYSTM1	C5orf32, ORF1-FL49	9606	HGNC:30239
CYTH1	9267	cytohesin 1	CYTH1	B2-1, CYTOHESIN-1, D17S811E, PSCD1, SEC7	9606	HGNC:9501
PSCD1	9267	cytohesin 1	CYTH1	B2-1, CYTOHESIN-1, D17S811E, PSCD1, SEC7	9606	HGNC:9501
CYTH2	9266	cytohesin 2	CYTH2	ARNO, CTS18, CTS18.1, PSCD2, PSCD2L	9606	HGNC:9502
PSCD2	9266	cytohesin 2	CYTH2	ARNO, CTS18, CTS18.1, PSCD2, PSCD2L	9606	HGNC:9502
CYTH3	9265	cytohesin 3	CYTH3	ARNO3, GRP1, PSCD3, cytohesin-3	9606	HGNC:9504
PSCD3	9265	cytohesin 3	CYTH3	ARNO3, GRP1, PSCD3, cytohesin-3	9606	HGNC:9504
CYTH4	27128	cytohesin 4	CYTH4	CYT4, DJ63G5.1, PSCD4, cytohesin-4	9606	HGNC:9505
PSCD4	27128	cytohesin 4	CYTH4	CYT4, DJ63G5.1, PSCD4, cytohesin-4	9606	HGNC:9505
CYTIP	9595	cytohesin 1 interacting protein	CYTIP	B3-1, CASP, CYBR, CYTHIP, HE	9606	HGNC:9506
PSCDBP	9595	cytohesin 1 interacting protein	CYTIP	B3-1, CASP, CYBR, CYTHIP, HE	9606	HGNC:9506
CYTL1	54360	cytokine like 1	CYTL1	C17, C4orf4	9606	HGNC:24435
CYYR1	116159	cysteine and tyrosine rich 1	CYYR1	C21orf95	9606	HGNC:16274
C1ORF123	54987	CXXC motif containing zinc binding protein	CZIB	C1orf123	9606	HGNC:26059
D2HGDH	728294	D-2-hydroxyglutarate dehydrogenase	D2HGDH	D2HGD	9606	HGNC:28358
DAAM1	23002	dishevelled associated activator of morphogenesis 1	DAAM1		9606	HGNC:18142
DAAM2	23500	dishevelled associated activator of morphogenesis 2	DAAM2	NPHS24, dJ90A20A.1	9606	HGNC:18143
DAB1	1600	DAB adaptor protein 1	DAB1	SCA37	9606	HGNC:2661
DAB2	1601	DAB adaptor protein 2	DAB2	DOC-2, DOC2	9606	HGNC:2662
DAB2IP	153090	DAB2 interacting protein	DAB2IP	AF9Q34, AIP-1, AIP1, DIP1/2	9606	HGNC:17294
DACH1	1602	dachshund family transcription factor 1	DACH1	DACH	9606	HGNC:2663
DACH2	117154	dachshund family transcription factor 2	DACH2		9606	HGNC:16814
DACT1	51339	dishevelled binding antagonist of beta catenin 1	DACT1	DAPPER, DAPPER1, DPR1, FRODO, HDPR1	9606	HGNC:17748
DACT2	168002	dishevelled binding antagonist of beta catenin 2	DACT2	C6orf116, DAPPER2, DPR2, bA503C24.7	9606	HGNC:21231
DACT3	147906	dishevelled binding antagonist of beta catenin 3	DACT3	DAPPER3, RRR1	9606	HGNC:30745
DAD1	1603	defender against cell death 1	DAD1	OST2	9606	HGNC:2664
DAG1	1605	dystroglycan 1	DAG1	156DAG, A3a, AGRNR, DAG, LGMDR16	9606	HGNC:2666
DAGLA	747	diacylglycerol lipase alpha	DAGLA	C11orf11, DAGL(ALPHA), DAGLALPHA, NSDDR	9606	HGNC:1165
DAGLB	221955	diacylglycerol lipase beta	DAGLB	DAGLBETA, KCCR13L	9606	HGNC:28923
DALRD3	55152	DALR anticodon binding domain containing 3	DALRD3	DEE86, EIEE86	9606	HGNC:25536
DAND5	199699	DAN domain BMP antagonist family member 5	DAND5	CER2, CERL2, CKTSF1B3, COCO, CRL2	9606	HGNC:26780
DAO	1610	D-amino acid oxidase	DAO	DAAO, DAMOX, OXDA	9606	HGNC:2671
DAOA	267012	D-amino acid oxidase activator	DAOA	LG72, SG72	9606	HGNC:21191
DAP	1611	death associated protein	DAP		9606	HGNC:2672
DAP3	7818	death associated protein 3	DAP3	DAP-3, MRP-S29, MRPS29, S29mt, bMRP-10	9606	HGNC:2673
DAPK1	1612	death associated protein kinase 1	DAPK1	DAPK, ROCO3	9606	HGNC:2674
DAPK2	23604	death associated protein kinase 2	DAPK2	DRP-1, DRP1	9606	HGNC:2675
DAPK3	1613	death associated protein kinase 3	DAPK3	DLK, ZIP, ZIPK	9606	HGNC:2676
DAPL1	92196	death associated protein like 1	DAPL1		9606	HGNC:21490
DAPP1	27071	dual adaptor of phosphotyrosine and 3-phosphoinositides 1	DAPP1	BAM32	9606	HGNC:16500
DARS	1615	aspartyl-tRNA synthetase 1	DARS1	DARS, HBSL, aspRS	9606	HGNC:2678
DARS2	55157	aspartyl-tRNA synthetase 2, mitochondrial	DARS2	ASPRS, LBSL, MT-ASPRS, mtAspRS	9606	HGNC:25538
DAW1	164781	dynein assembly factor with WD repeats 1	DAW1	ODA16, WDR69	9606	HGNC:26383
WDR69	164781	dynein assembly factor with WD repeats 1	DAW1	ODA16, WDR69	9606	HGNC:26383
DAXX	1616	death domain associated protein	DAXX	BING2, DAP6, EAP1, SMIM40	9606	HGNC:2681
DAZ1	1617	deleted in azoospermia 1	DAZ1	DAZ, SPGY	9606	HGNC:2682
DAZ2	57055	deleted in azoospermia 2	DAZ2	pDP1678	9606	HGNC:15964
DAZ3	57054	deleted in azoospermia 3	DAZ3	pDP1679	9606	HGNC:15965
DAZ4	57135	deleted in azoospermia 4	DAZ4	pDP1680, pDP1681	9606	HGNC:15966
DAZAP1	26528	DAZ associated protein 1	DAZAP1		9606	HGNC:2683
DAZAP2	9802	DAZ associated protein 2	DAZAP2	PRTB	9606	HGNC:2684
DAZL	1618	deleted in azoospermia like	DAZL	DAZH, DAZL1, DAZLA, SPGYLA	9606	HGNC:2685
DBET	100419743	D4Z4 binding element transcript	DBET	DBE-T, DUX4L30	9606	HGNC:43904
DBF4	10926	DBF4 zinc finger	DBF4	ASK, CHIF, DBF4A, ZDBF1	9606	HGNC:17364
DBF4B	80174	DBF4 zinc finger B	DBF4B	ASKL1, CHIFB, DRF1, ZDBF1B	9606	HGNC:17883
DBH	1621	dopamine beta-hydroxylase	DBH	DBM, ORTHYP1	9606	HGNC:2689
DBI	1622	diazepam binding inhibitor, acyl-CoA binding protein	DBI	ACBD1, ACBP, CCK-RP, EP	9606	HGNC:2690
DBN1	1627	drebrin 1	DBN1	D0S117E	9606	HGNC:2695
DBNDD1	79007	dysbindin domain containing 1	DBNDD1		9606	HGNC:28455
DBNDD2	55861	dysbindin domain containing 2	DBNDD2	C20orf35, CK1BP, HSMNP1	9606	HGNC:15881
